MAGIC 	 int16
WAVEFORM_TYPE_26 	 int16
WAVEFORM_LENGTH_26 	 int32
WAVEFORM_TIMESTAMP_26 	 16byteTimeStamp
WAVEFORM_DATA_26 	 WFM_data
WAVEFORM_TYPE_27 	 int16
WAVEFORM_LENGTH_27 	 int32
WAVEFORM_TYPE_28 	 int16
WAVEFORM_LENGTH_28 	 int32
WAVEFORM_TYPE_29 	 int16
WAVEFORM_LENGTH_29 	 int32
